CRN,Course Code,Faculty,List of Prerequisites,List of Corequisites,Is Pinned,Start Time,End Time,List of Days,Duration
1355,ICSI 201,Wang Qi,None,1356.1357.1358.7705.7706.7707.7708,FALSE,NULL,NULL,NULL,80
1357,ICSI 201,Wang Qi,None,None,FALSE,NULL,NULL,NULL,55
7706,ICSI 201,Wang Qi,None,None,FALSE,NULL,NULL,NULL,55
7707,ICSI 201,Wang Qi,None,None,FALSE,NULL,NULL,NULL,55
9318,ICSI 201,Hono II Daniel,None,9321.9323.9325.9327,FALSE,NULL,NULL,NULL,80
9321,ICSI 201,Hono II Daniel,None,None,FALSE,NULL,NULL,NULL,55
9325,ICSI 201,Hono II Daniel,None,None,FALSE,NULL,NULL,NULL,55
9327,ICSI 201,Hono II Daniel,None,None,FALSE,NULL,NULL,NULL,55
4917,ICSI 210,Wang Qi,None,4941.4942.7287.7882,FALSE,NULL,NULL,NULL,80
4941,ICSI 210,Wang Qi,None,None,FALSE,NULL,NULL,NULL,55
7742,ICSI 210,Wang Qi,None,None,FALSE,NULL,NULL,NULL,55
7287,ICSI 210,Wang Qi,None,None,FALSE,NULL,NULL,NULL,55
7882,ICSI 210,Wang Qi,None,None,FALSE,NULL,NULL,NULL,55
9502,ICSI 210,Hono II Daniel,None,9504.9506,FALSE,NULL,NULL,NULL,80
9504,ICSI 210,Hono II Daniel,None,None,FALSE,NULL,NULL,NULL,55
9506,ICSI 210,Hono II Daniel,None,None,FALSE,NULL,NULL,NULL,55
5285,ICSI 213,Hwang Jeong-Hyon,ICSI 201,5286.5287.5288,FALSE,NULL,NULL,NULL,80
5286,ICSI 213,Hwang Jeong-Hyon,ICSI 201,None,FALSE,NULL,NULL,NULL,55
5287,ICSI 213,Hwang Jeong-Hyon,ICSI 201,None,FALSE,NULL,NULL,NULL,55
5288,ICSI 213,Hwang Jeong-Hyon,ICSI 201,None,FALSE,NULL,NULL,NULL,55
5289,ICSI 213,Arora Shashank,ICSI 201,None,FALSE,NULL,NULL,NULL,55
5290,ICSI 213,Arora Shashank,ICSI 201,None,FALSE,NULL,NULL,NULL,55
5590,ICSI 213,Arora Shashank,ICSI 201,None,FALSE,NULL,NULL,NULL,55
5285,ICSI 213,Arora Shashank,ICSI 201,5289.5290.5590,FALSE,NULL,NULL,NULL,80
5099,ICSI 311,Phipps Michael,ICSI 210.ICSI 213,5100.5101.6611,FALSE,NULL,NULL,NULL,80
5100,ICSI 311,Phipps Michael,ICSI 210.ICSI 213,None,FALSE,NULL,NULL,NULL,55
5101,ICSI 311,Phipps Michael,ICSI 210.ICSI 213,None,FALSE,NULL,NULL,NULL,55
6611,ICSI 311,Phipps Michael,ICSI 210.ICSI 213,None,FALSE,NULL,NULL,NULL,55
4430,ICSI 333,Hono II Daniel,ICSI 213,4447.5001.5589.5666,FALSE,NULL,NULL,NULL,80
5001,ICSI 333,Hono II Daniel,ICSI 213,None,FALSE,NULL,NULL,NULL,55
6611,ICSI 333,Hono II Daniel,ICSI 213,None,FALSE,NULL,NULL,NULL,55
5589,ICSI 333,Hono II Daniel,ICSI 213,None,FALSE,NULL,NULL,NULL,55
5666,ICSI 333,Hono II Daniel,ICSI 213,None,FALSE,NULL,NULL,NULL,55
7103,ICSI 401,Kotecha Ramchandra,ICSI 213,None,FALSE,NULL,NULL,NULL,80
7153,ICSI 403,Li Xin,ICSI 210.ICSI 213,None,FALSE,NULL,NULL,NULL,80
6736,ICSI 404,Phipps Michael,ICSI 333,None,FALSE,NULL,NULL,NULL,80
8433,ICSI 409,Ekenna Chinwe,ICSI 311,9492,FALSE,NULL,NULL,NULL,80
8433,ICSI 409,Arora Shashank,ICSI 311,9359,FALSE,NULL,NULL,NULL,80
9359,ICSI 409,Arora Shashank,ICSI 311,None,FALSE,NULL,NULL,NULL,55
9492,ICSI 409,Ekenna Chinwe,ICSI 311,None,FALSE,NULL,NULL,NULL,55
5317,ICSI 410,Hwang Jeong-Hyon,ICSI 210.ICSI 213,None,FALSE,NULL,NULL,NULL,80
8432,ICSI 412,Phipps Michael,ICSI 333,None,FALSE,NULL,NULL,NULL,80
5073,ICSI 418Y,Arora Shashank,ICSI 311,None,FALSE,NULL,NULL,NULL,80
7108,ICSI 426,Atrey Pradeep,ICSI 210.ICSI 333,None,FALSE,NULL,NULL,NULL,80
6071,ICSI 431,Chang Ming-Ching,CSI 311,None,FALSE,NULL,NULL,NULL,80
8961,ICSI 432,Chelmis Charalampos,ICSI 403,None,FALSE,NULL,NULL,NULL,80
8963,ICSI 435,Wang Haoyu,ICSI 401.ICSI 403,None,FALSE,NULL,NULL,NULL,80
8968,ICSI 436,Liu Chong,ICSI 401,None,FALSE,NULL,NULL,NULL,80
8967,ICSI 445,Li Xin,ICSI 311,None,FALSE,NULL,NULL,NULL,80
9634,ICSI 452,Ekenna Chinwe,ICSI 210.ICSI 213,None,FALSE,NULL,NULL,NULL,80
9542,ICSI 461,Praphamontripong Upsorn,ICSI 311,None,FALSE,NULL,NULL,NULL,80
8006,ICSI 471,Chang Ming-Chang,ICSI 210.ICSI213,None,FALSE,NULL,NULL,NULL,80
1359,ICSI 487,Atrey Pradeep,None,None,FALSE,NULL,NULL,NULL,0
9611,ICSI 499,Atrey Pradeep,ICSI 418Y,None,FALSE,NULL,NULL,NULL,80
